date,symbol,open,high,low,close,adj_close,volume,daily_return
2025-08-05,BTC-USD,115072.1875,115117.4375,112701.1094,114141.4453,114141.4453,61039182286,-0.008086
2025-08-06,BTC-USD,114140.9141,115737.8359,113372.25,115028.0,115028.0,56379133510,0.007767
2025-08-07,BTC-USD,115030.0547,117676.9062,114279.7109,117496.8984,117496.8984,64051649681,0.021463
2025-08-08,BTC-USD,117505.5,117689.2031,115917.4609,116688.7266,116688.7266,59713005166,-0.006878
2025-08-09,BTC-USD,116678.2734,117906.6094,116363.8359,116500.3594,116500.3594,54004312429,-0.001614
2025-08-10,BTC-USD,116497.7188,119320.7109,116485.1641,119306.7578,119306.7578,64755458694,0.024089
2025-08-11,BTC-USD,119306.8125,122321.0938,118159.0312,118731.4453,118731.4453,90528784177,-0.004822
2025-08-12,BTC-USD,118717.6641,120302.4688,118228.7188,120172.9062,120172.9062,72803657984,0.012141
2025-08-13,BTC-USD,120168.9766,123682.4531,118939.6328,123344.0625,123344.0625,90904808795,0.026388
2025-08-14,BTC-USD,123339.3984,124457.1172,117254.8828,118359.5781,118359.5781,104055627395,-0.040411
2025-08-15,BTC-USD,118365.7812,119332.3125,116864.5703,117398.3516,117398.3516,68665353159,-0.008121
2025-08-16,BTC-USD,117398.4219,117996.0625,117271.9531,117491.3516,117491.3516,48036922378,0.000792
2025-08-17,BTC-USD,117492.7891,118595.7734,117279.5234,117453.0625,117453.0625,45852169525,-0.000326
2025-08-18,BTC-USD,117453.9062,117614.1719,114723.6797,116252.3125,116252.3125,72787808090,-0.010223
2025-08-19,BTC-USD,116241.8594,116764.5,112730.3984,112831.1797,112831.1797,71657600353,-0.029429
2025-08-20,BTC-USD,112828.0234,114625.7969,112387.9609,114274.7422,114274.7422,67993811526,0.012794
2025-08-21,BTC-USD,114275.6875,114802.6484,111986.2344,112419.0312,112419.0312,57817883700,-0.016239
2025-08-22,BTC-USD,112433.7344,117377.3984,111678.9453,116874.0859,116874.0859,82528088240,0.039629
2025-08-23,BTC-USD,116866.3672,116996.25,114536.1094,115374.3281,115374.3281,55377142586,-0.012832
2025-08-24,BTC-USD,115387.3906,115615.0859,111060.5469,113458.4297,113458.4297,73961489632,-0.016606
2025-08-25,BTC-USD,113456.8984,113637.8438,109324.2812,110124.3516,110124.3516,85706860190,-0.029386
2025-08-26,BTC-USD,110124.1016,112397.0156,108762.0391,111802.6562,111802.6562,69396320317,0.01524
2025-08-27,BTC-USD,111795.7109,112619.4141,110398.2656,111222.0625,111222.0625,62137056409,-0.005193
2025-08-28,BTC-USD,111219.0547,113450.0781,110900.9219,112544.8047,112544.8047,58860155962,0.011893
2025-08-29,BTC-USD,112550.5234,112619.0547,107559.625,108410.8359,108410.8359,77843379644,-0.036732
2025-08-30,BTC-USD,108409.4062,108929.3516,107444.4453,108808.0703,108808.0703,51486264208,0.003664
2025-08-31,BTC-USD,108818.4609,109491.0,108104.6562,108236.7109,108236.7109,47986191770,-0.005251
2025-09-01,BTC-USD,108228.75,109890.5859,107271.1797,109250.5938,109250.5938,66870372995,0.009367
2025-09-02,BTC-USD,109243.0703,111748.0156,108454.0312,111200.5859,111200.5859,74776999491,0.017849
2025-09-03,BTC-USD,111190.6953,112600.2266,110582.9609,111723.2109,111723.2109,61119643565,0.0047
2025-09-04,BTC-USD,111718.1484,112208.3281,109347.2266,110723.6016,110723.6016,60131132901,-0.008947
2025-09-05,BTC-USD,110723.0156,113357.4922,110233.3984,110650.9844,110650.9844,60241647677,-0.000656
2025-09-06,BTC-USD,110650.5703,111275.0156,110024.0859,110224.6953,110224.6953,21500719036,-0.003853
2025-09-07,BTC-USD,110221.3281,111591.0781,110211.625,111167.6172,111167.6172,24618007520,0.008555
2025-09-08,BTC-USD,111163.0156,112869.2344,110630.6094,112071.4297,112071.4297,40212813407,0.00813
2025-09-09,BTC-USD,112077.5781,113225.4375,110776.7031,111530.5469,111530.5469,45984480722,-0.004826
2025-09-10,BTC-USD,111531.25,114275.25,110940.0781,113955.3594,113955.3594,56377473784,0.021741
2025-09-11,BTC-USD,113961.4297,115522.5469,113453.8359,115507.5391,115507.5391,45685065332,0.013621
2025-09-12,BTC-USD,115507.7891,116769.3828,114794.4844,116101.5781,116101.5781,54785725894,0.005143
2025-09-13,BTC-USD,116093.5625,116334.6328,115248.2734,115950.5078,115950.5078,34549454947,-0.001301
2025-09-14,BTC-USD,115950.2891,116181.5,115222.3984,115407.6562,115407.6562,32798036057,-0.004682
